Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
DAVID GAMZEH & GABRIEL SEBBAG,648,10,1,0,0,0,0,100,0,0,1.8,1.9,2.3,2.7,3.1,2.8,0.5,52.8,51.5,0.7,13,1.3,370694.1,37069.41,2,0.2,23.6,10,2.7,2.6,51.2,65.8,63.1,1.78,1.28,19.4,4.3,4.8,2.3,2.3,25.6,21.4,94.7,90.8,0.2,29.2,7.6,4.6,16.1,10.2,40.2,5.5
DAVID MARX,179,10,1,0,1,2,20,100,0,0,1.8,1.8,1.8,2.9,3.2,2.8,0.6,51.1,40.8,0.5,6,0.6,178647.84,17864.78,3,0.3,26.4,14.7,2.1,3,33.3,71.9,73.4,1.98,1.78,11.1,4,6.2,0.9,0.7,17,11.4,93.4,92.3,0,23.2,8.2,33.4,29.2,10.6,44.8,0
DAVID VANN & BOYD WRIGHT,723,5,1,0,0,0,0,100,0,0,3.4,3.6,3.4,2.4,4.1,3.3,0.4,52.6,35.9,0,3,0.6,34648.25,6929.65,0,0,35.5,16.3,0.5,3.6,48.5,79.9,89,2.58,2.29,5.7,3.4,7.7,0.9,0.6,27,20.7,97.5,98.5,0,20.5,5.9,0.7,18,11.6,21.4,0.3
DELMAR GARDENS,180,14,5,0,0,0,0,100,0,0,2.6,2.8,2.9,2.4,3.9,3.6,0.4,47.9,40.9,0.4,15,1.1,254302.23,18164.45,3,0.2,25.4,11.1,1.8,4.9,40.8,65.9,68.8,2.05,1.38,18.8,4.2,6,3.8,1.5,24.1,20.6,91.6,83.9,0,18.4,6.1,1.8,18.5,11.5,40.5,10.2
DIAKONOS GROUP,182,8,1,0,0,0,0,100,0,0,3,2.9,3,3.5,4.2,3.8,0.5,63.2,49.3,2.5,8,1,314377.38,39297.17,0,0,26.5,15.2,0.5,2.7,44.3,72.2,81.8,1.87,2.3,6.2,4.8,5.7,1.9,1.2,18.4,18.1,95.1,93.6,0,20.7,4.4,0.8,26.4,11.7,36.1,1.8
DIOCESAN HEALTH FACILITIES,184,5,1,0,0,1,20,0,100,0,3,2.8,4.4,2.4,4,3.7,0.8,36.3,32,0,4,0.8,213183.75,42636.75,0,0,22.9,11.7,1,5.7,51.4,72.8,69.1,2.3,1.29,21.4,4.5,4.4,3.4,2.2,23.1,26.1,97,91.1,0.2,21,5.2,1.2,17.4,10.2,66.3,19.1
DIVERSICARE HEALTHCARE,185,47,6,0,1,2,4.3,93.6,2.1,4.3,2.6,2.5,3,3.6,3.3,2.8,0.6,47.2,45.8,0.6,38,0.8,1469629.52,31268.71,9,0.2,25.9,12,1.3,2.1,49.7,87.4,84.8,2,1.93,12,3.5,6.1,1.7,1,17.2,13.2,98.4,93.3,0,20.2,5.2,1.9,22.2,11.1,35.9,5.4
DIVINE HEALTHCARE MANAGEMENT,186,9,1,0,0,2,22.2,100,0,0,2.4,1.9,2.2,4.3,3.5,3.1,0.5,52.8,45.7,0.2,10,1.1,308863.72,34318.19,5,0.6,37.9,11.9,0,2,46.3,59.8,70.1,1.59,1.54,8.6,3.2,2.7,0,0,12.8,9.3,93.1,89.3,0,21.6,3.6,57,26.6,10.6,54.4,11.1
DOVE HEALTHCARE,187,11,1,0,0,0,0,100,0,0,3,2.8,3.3,3.1,4.5,4,1,65.8,55,0.9,12,1.1,431806.84,39255.17,2,0.2,18.5,18.9,1.2,2.2,59.9,82.8,80.7,1.7,2.64,13.3,3.6,5.8,2.4,4.4,26.5,19.1,91,92.7,0,25.6,4.6,7.3,17.4,9.9,44.4,11.4
DYNASTY HEALTHCARE GROUP,649,5,1,0,0,0,0,100,0,0,2.6,2.8,2.2,3.4,3.3,3,0.4,58.9,63.6,1.3,6,1.2,51233,10246.6,1,0.2,32.1,13.9,1.3,2.6,47.9,83.8,83.4,1.89,1.65,7.5,4,4.1,0.4,1.1,21.2,19,98.1,98,0,15.3,4.1,4.2,18.7,11.6,36.5,13.1
EASTERN HEALTHCARE GROUP,608,17,1,0,2,2,11.8,100,0,0,1.4,1.8,1.2,2.6,3,2.6,0.4,58,57.9,1.1,38,2.2,1211839.91,71284.7,3,0.2,23.9,13.2,1.8,2.2,48.8,41.8,43.5,1.49,1.66,11,3.7,5.8,1.3,0.4,31.9,24.6,77.3,73.1,0,26.3,5.6,23.8,21.6,11,34.3,7.3
ECUMEN,696,6,1,0,0,0,0,0,100,0,3.3,3.2,3.7,4,4.8,4.2,1.3,60.7,48.9,0.8,6,1,174244.33,29040.72,2,0.3,21.1,15.3,1.8,3.2,70.2,70.1,93.4,1.05,2.04,14.2,4,8.9,3.4,3,27.3,17.8,89.2,98.6,0,31.2,3.1,3.5,9.6,9.3,40.1,18.5
EDEN HEALTHCARE,191,7,2,0,0,0,0,100,0,0,2.7,2.6,3.6,3.1,3.6,3.2,0.8,49.8,44.4,0.4,13,1.9,335437.8,47919.69,2,0.3,27.2,17.5,2.4,1.5,61.3,87.9,89.6,1.18,1.75,17.2,3.8,5.4,0.4,1.9,30.3,22.7,98.1,97.6,0.2,22.2,5.8,3.6,15.9,10.6,57.6,12.5
EDEN SENIOR CARE,192,14,2,0,0,0,0,100,0,0,2.7,2.7,2.6,3.1,3.7,3.3,0.9,51.7,51.1,0.2,10,0.7,263407.5,18814.82,1,0.1,21.3,16.7,0.6,3.4,53,81.5,82.8,1.67,1.93,15.3,2.6,6.8,2.9,1.5,22.5,12.7,96.7,93.9,0,30.3,3.7,6.5,18.5,10.3,47.7,8.9
EDURO HEALTHCARE,193,31,7,0,3,7,22.6,80.6,0,19.4,2.2,2.2,2,3,3.2,2.8,0.5,57,55.4,0.6,75,2.4,2306723.65,74410.44,10,0.3,21.8,13.9,2.1,3.1,50.3,79.9,85.1,1.74,2.06,13.4,4.1,5.6,2.3,1.8,24.7,22.2,95.5,95.9,0,22,6.7,4.3,27,10.2,31.9,3.8
EL DORADO NURSING AND REHABILITATION,609,6,1,0,0,1,16.7,100,0,0,1.3,1.3,1.2,4,2.9,2.6,0.3,53.2,49,1,8,1.3,230898.7,38483.12,2,0.3,19.9,8.6,2,3.6,52.4,70.3,63,2.12,1.44,9,1.3,4.9,0.6,0.8,18,16.8,97,91.1,0,21.7,4.3,35.6,18.4,10.8,54.1,0
ELDER OUTREACH NURSING & REHABILITATION,194,5,1,0,0,0,0,0,100,0,2.4,2.8,2,2.2,3.8,3.1,0.2,47.8,64.3,0,2,0.4,52252.5,10450.5,0,0,27.2,14.3,1.4,3.7,50.5,97.3,97.9,2.69,2.88,19.5,3.5,5.1,1.1,0.1,24.8,18,99.5,98.3,0,12.9,3.7,0.2,29.6,10.2,46.1,2.6
ELDER SERVICES,195,6,1,0,1,1,16.7,100,0,0,2.2,2.2,2.7,2.2,4,3.7,0.4,72.2,73.2,0.3,8,1.3,597029.65,99504.94,1,0.2,26.1,10.7,0.9,3.3,49.8,68.6,53.4,1.72,1.58,37.9,3.4,4.5,2.9,2.5,30.9,32.8,94.9,83.3,1.7,29.6,5.2,1.4,23.9,10.1,62.7,22.3
ELDERWOOD,196,17,3,0,1,0,0,100,0,0,2.9,2.8,2.7,3.1,3.4,2.9,0.7,55.1,46,0.7,13,0.8,660244.78,38837.93,2,0.1,23.8,12.7,1.1,3.4,59.9,72.6,75,1.6,1.49,16.1,3.8,9.5,2.3,1.6,28.4,26,94.5,93.1,0.1,29.2,7,2.7,14.8,10.4,60.3,8
ELEVATE CARE,197,12,2,0,0,5,41.7,100,0,0,2,2.1,2.2,3,3.4,2.9,0.7,37,34.8,0.3,43,3.6,2168237.73,180686.48,10,0.8,27.6,9.3,2.4,1.3,36.8,52.9,56.4,2.05,1.19,19.6,1.8,9,1.1,1.6,13.1,10.3,86.5,75.9,0.1,16.4,6.8,63.3,14.8,10.5,43.9,13
ELEVATION HEALTHCARE,686,4,2,0,0,0,0,100,0,0,1.8,1.8,1.8,3.3,3.4,3,0.4,63.2,67.2,,30,7.5,187361.86,46840.47,0,0,27.5,15.7,3.5,0.5,51.3,56,58.9,1.6,1.79,20.7,2.7,6.4,1.8,1.3,18.6,17.8,88.6,87.5,0,17.7,4.8,5.8,21.6,11.7,41.4,14.7
ELIYAHU MIRLIS,710,10,2,0,1,2,20,80,10,10,2.1,2.1,2.8,3.6,3.3,3.1,0.5,56,63.8,0.8,15,1.5,880691.99,88069.2,2,0.2,31.2,10.2,4.9,2.3,57.9,74.4,85.8,1.9,1.06,21.7,3.7,7.1,0.8,1,13.3,12.5,95.3,96.6,0,11.4,6.6,3.1,28.3,10.2,70,48.6
ELMBROOK MANAGEMENT COMPANY,198,11,1,0,0,0,0,100,0,0,3.6,3.8,2.8,2.5,3.8,3.3,0.4,60.4,48.8,0,3,0.3,42554.56,3868.6,0,0,33.4,16.6,2.8,3,50.2,78.1,67.8,2.72,2.66,12.6,3.7,5.2,2.6,2.8,17.8,14.9,97.3,97.1,0,12,2.8,3.6,25.3,11.8,45.5,0.5
EMBASSY HEALTHCARE,199,37,2,0,4,6,16.2,100,0,0,2.8,2.2,2,4.3,3.4,3.1,0.5,51.2,52.6,1,59,1.6,1904760.09,51480,17,0.5,24.4,9.3,1.5,2.7,47.5,65,57.9,1.39,1.41,17.1,3.2,5.1,1.2,0.7,12.5,8.8,93.6,84,0.2,23.5,5.6,6.8,25.5,10.6,44.9,6.3
EMERALD HEALTHCARE,630,12,2,0,5,0,0,100,0,0,1.3,1.3,1.8,2.1,3.5,3.1,0.4,63.1,63.5,0.9,61,5.1,949421.29,79118.44,16,1.3,24,14.3,1.5,2.7,53.5,48.3,47.2,2.41,2.41,22.1,4,5.8,3.2,2.1,27.4,21.8,86.7,72.4,0.2,29,6.2,2.4,21.5,9.9,32.4,4
EMPIRE CARE CENTERS,202,20,2,0,1,2,10,100,0,0,1.5,1.8,1.3,2.9,3.2,2.9,0.4,56.6,57.1,0.8,17,0.9,1109302.03,55465.1,5,0.3,28.6,12,1.7,2.2,48.3,68.7,77.7,1.77,1.51,11.4,2.8,7.7,1.2,0.9,29.1,21.1,91.2,81.8,0,25.6,7.7,2.1,13.6,11.9,33.1,5.2
EMPRES OPERATED BY EVERGREEN,665,39,6,0,5,9,23.1,100,0,0,2.4,2.4,3.3,3.1,3.9,3.4,0.7,53.1,44.4,0.4,82,2.1,1845467.75,47319.69,3,0.1,22.3,14.7,1.7,3,49.3,66.9,78.5,1.45,1.93,19.3,3.9,4.8,1.6,1.4,29.1,18.2,91.8,95.6,0,23.6,5.1,5.3,14.8,10,42.5,8.6
ENCORE HEALTH PARTNERS,697,12,1,0,1,1,8.3,100,0,0,1.9,2.1,2,2.3,3.5,3.1,0.7,52.5,54,1.2,17,1.4,199285.52,16607.13,2,0.2,23.1,10.1,1.3,6.5,39.9,68.9,80.6,2.18,1.65,16.3,3.4,7.3,3.3,1.3,31.5,23.1,96.1,96.4,0,23.8,7.2,14.8,24.8,10.8,44.9,9.8
ENVIVE HEALTHCARE,204,9,1,0,1,0,0,88.9,0,11.1,2.1,2.3,1.3,4,3.5,3.2,0.5,56.4,68.8,1.3,24,2.7,483802.11,53755.79,3,0.3,26.4,12.1,2,1.3,38.1,63.4,59.1,1.68,1.62,13.6,2.5,3.7,0.2,0.1,16.8,15.1,88.2,92.9,0,27.7,4,47.9,22.4,10.8,50.6,28.2
EPHRAM LAHASKY,205,46,15,2,7,9,19.6,95.7,4.3,0,1.9,1.9,2.2,3,3.4,3.1,0.6,56.1,54.4,0.9,88,1.9,3025345.12,65768.37,19,0.4,27.3,16.7,2,3,48.3,72.8,71.2,1.88,1.81,17.5,2.7,6.3,1.3,1.8,21.8,18.3,94.2,87.2,0,25,6.3,14.5,22,10.6,42.7,6.7
EPIC HEALTHCARE MANAGEMENT,207,5,1,0,0,0,0,100,0,0,3.2,3.2,2,3.4,3.2,2.9,0.6,33.7,26.5,1,0,0,0,0,0,0,20,11.3,0.6,2,55.8,88,80.8,1.99,1.42,16.7,3.7,6,0.5,0.4,24.1,21.6,98.4,97.5,0.1,22.8,6.6,24.2,16.7,10,52.6,5.5
"EPISCOPAL RETIREMENT HOMES, INC.",711,3,2,0,0,0,0,0,100,0,4.7,4,5,3.3,5.1,4.8,0.9,26.7,24,0,1,0.3,6201,2067,0,0,28.6,16.6,0.8,1,63.5,84.1,87.2,1.28,1.59,25.8,7,0.2,1.5,0.4,17.6,26.8,100,98.9,0,34.1,6,11,10.9,10.7,60.5,5.2
ERICKSON SENIOR LIVING,724,17,10,0,0,1,5.9,11.8,88.2,0,4.4,3.9,4.5,3.9,4.7,4.2,1.2,42.2,43.6,0.9,28,1.6,334751.25,19691.25,0,0,22.3,9.1,1.5,3,49,93.6,84.1,1.41,0.81,13.2,4.4,5.9,2.3,1.1,30.7,21.9,96.7,92.2,0,19.3,4.5,1.2,18.8,10.9,57.4,6.6
ESSENTIAL HEALTHCARE,212,6,1,0,0,1,16.7,100,0,0,1.8,1.7,3.7,2.4,3.6,3.1,0.7,30.4,38.8,0.7,6,1,301674.5,50279.08,1,0.2,27.3,11.2,1.7,1.5,49.1,56.4,42.1,3.82,2.11,22.5,2.2,5.2,1.1,1.6,24,20.7,86.2,71.8,0,21.1,5.3,26.2,19.5,10.3,51.1,2
EVA CARE GROUP,213,9,1,1,0,1,11.1,100,0,0,3.4,2.6,3.9,4.1,4.3,3.9,0.7,36.3,37.3,1.2,14,1.6,690631.87,76736.87,3,0.3,26.6,11,1.1,0.7,56.3,99.6,98.7,2.22,1.45,7.2,1.8,5.6,2,0.9,16.7,13.7,100,100,0,7.3,7.4,0.2,13.8,11.2,52.5,18.4
EVERYAGE SENIOR LIVING,675,3,2,0,0,0,0,0,100,0,5,4.3,5,4,4.9,4.6,0.8,34.2,34,0.7,0,0,0,0,0,0,23.7,8.4,1.3,1.8,61.3,76.2,93.8,1.43,0.9,14.1,2.8,8.2,4.2,1.4,24.9,20.4,97.9,93,0,22.9,6,2.5,19.8,10.4,43.9,6.9
EXCELCARE,216,5,1,0,1,0,0,100,0,0,2.6,2.4,2.2,4.4,3.1,2.7,0.5,52.4,50.6,0.8,4,0.8,268776,53755.2,0,0,26.5,7,1.2,2.2,50.4,74.3,73.1,1.73,1.03,10.4,2.2,5.8,0.7,0.6,10.8,10,98.2,87.4,0,14.4,6.1,16.8,16.6,10.7,41.7,23.7
EXCELSIOR CARE GROUP,217,22,3,0,0,1,4.5,100,0,0,2.8,2.6,2,4.4,3.3,3.1,0.5,41.8,48.1,1,56,2.5,506099.31,23004.51,0,0,24.6,7.1,1.5,2.2,53.3,80.6,79.5,1.58,0.94,10.8,1.9,7.9,0.5,0.3,12.2,10.8,97.1,92.5,0,9.5,7.2,28.3,15.7,10.5,21.3,9.9
EXTENDED CARE ASSOCIATES,218,5,2,0,0,0,0,100,0,0,2.2,3.2,2.6,1.2,3.7,3,0.3,47.1,49.2,1,1,0.2,15592.85,3118.57,0,0,25.2,19,3.8,5.1,50.1,77.9,83.8,2.5,2.15,21.6,4.8,7.1,4.3,1.4,24,21.9,99,94.9,0,24,2,0.7,31.4,10.8,31.7,0
EXTENDED CARE CONSULTING,725,11,1,0,0,4,36.4,100,0,0,1.5,2.1,1.2,2.5,3.1,2.8,0.5,52.1,52.9,1,25,2.3,1279898.23,116354.38,10,0.9,26.7,12.2,2.4,2.5,44,41.7,50.1,1.91,1.53,16.9,3.1,6,1.1,0.7,26.3,21,90.4,84.3,0,20.7,6.3,72,10.7,11.5,49.6,8.4
FAMILY OF CARING HEALTHCARE,220,8,1,0,0,0,0,100,0,0,3.9,3.8,3.5,4.1,4.2,3.7,0.8,39.2,27.9,0.6,7,0.9,45811.16,5726.4,1,0.1,27.8,10.5,1.2,1.9,51.8,88.8,97.5,1.54,0.91,13.4,3.4,6.4,1.5,1.1,15.3,10,94.8,99.4,0,16.9,5.2,7.5,16.8,9.9,32.5,13.2
FELICIAN SERVICES,684,4,3,0,0,2,50,0,100,0,3,2.8,3.3,3.3,4.2,3.7,0.7,51.8,40.1,0,6,1.5,279006.29,69751.57,1,0.3,22.6,8.3,1,1.9,36,69.6,71.2,1.64,1.09,17.2,3.5,7.7,2.3,1.2,32.6,28.7,95.6,94.6,0,25.6,4.3,0.1,17,10.6,43.7,2.6
FIRST ATLANTIC HEALTHCARE,221,10,1,0,0,0,0,100,0,0,2.3,2.4,4,2.2,4.3,3.9,0.8,52.5,42,0.4,8,0.8,144927,14492.7,0,0,25.6,22.5,0.8,4.8,53.2,83,76.7,1.52,2.56,20.6,3.7,6,2.2,1.5,35.4,28.7,97.7,91,0,28.4,3.3,5.9,21.3,9.9,42.8,3
FLORIDA INSTITUTE FOR LONG-TERM CARE,223,17,1,1,0,1,5.9,17.6,82.4,0,2.2,2.2,2.9,3.6,3.3,3.1,0.6,36.4,47.1,0.7,19,1.1,1064597.37,62623.37,2,0.1,29.5,9.2,2.2,1.7,37,98.3,97.3,2.14,1.06,7.7,2.5,7,0.4,0.1,15.1,10.8,100,99.2,0,8.4,6.5,0.6,25.3,10.8,15.5,7.2
FOCUSED POST ACUTE CARE PARTNERS,224,27,1,0,3,6,22.2,96.3,0,3.7,1.8,2,1.3,3.4,2.9,2.6,0.3,59.7,58.4,0.6,54,2,2445257.72,90565.1,9,0.3,30.6,10.2,2.7,1.9,45.3,81.3,92.2,2.11,2.36,9.8,3.4,5.7,0.6,1,15.2,15.2,97.8,99.1,0,17.9,4.1,0.7,22.2,10.5,41,0
FOUNDATIONS HEALTH SOLUTIONS,225,59,1,0,0,0,0,98.3,0,1.7,3.9,3.8,2.1,4.3,3.5,3.1,0.6,42.9,34.2,0.4,53,0.9,423071.57,7170.7,1,0,26.9,14.7,0.8,2.3,45.6,78.4,80,1.6,1.64,10.9,2.5,4.5,0.2,0.2,9.9,7.7,95,93.5,0,18.1,5.6,35,28.4,10.6,45.7,2
FOURSQUARE HEALTHCARE,226,9,1,0,0,0,0,66.7,0,33.3,3.3,4,1.2,3.6,3.1,2.7,0.3,45.9,32.9,0.1,9,1,96966.6,10774.07,0,0,25.2,14.2,1.9,3.2,59.3,92,96.1,2.12,1.81,7,3.7,5,0.9,0.7,17,13.1,99.9,100,0,25.9,4.1,54.6,29.7,11.2,41.2,2.4
FRANCISCAN COMMUNITIES,227,6,3,0,0,1,16.7,16.7,83.3,0,3.7,3.2,4.3,3.7,4.6,4.3,1.2,40.5,30.5,0.4,8,1.3,216538.07,36089.68,1,0.2,24.6,9.6,1.5,3.2,51.6,88.5,87.4,1.76,0.74,16.3,1.6,7.6,0.8,0.6,27.1,14.8,98.2,95.7,0,28.9,6.8,2.8,17,10.3,51.3,4.5
FREEDOM MANAGEMENT COMPANY,228,3,2,0,0,0,0,100,0,0,3.7,3.3,4.3,3.7,5,4.3,0.7,41.6,39.6,0.7,1,0.3,20046,6682,0,0,26.6,16.1,0.8,2.3,29.6,98.8,99.2,1.88,1.59,8,0.5,4.3,7.5,4.8,24.5,15.5,100,100,0,14.2,14,1.7,11.4,10.9,22.6,12.6
FRIO HOSPITAL DISTRICT,698,7,1,0,0,1,14.3,57.1,0,42.9,2,2.1,2.1,3.4,3.5,3.1,0.4,55.1,45.5,0.7,44,6.3,512716.24,73245.18,2,0.3,27.5,8.9,1.3,0.8,55.3,86.9,90.1,1.71,2.01,7.7,2.5,4.8,0.2,0.8,26.9,20.5,100,99.1,0,19.2,5.6,5.1,24.1,10.6,13.8,0.5
FRONT PORCH,229,9,1,0,0,0,0,0,100,0,4.2,3.7,4.4,4.7,5.1,4.4,0.9,23.1,37.2,0.4,3,0.3,68917.73,7657.53,1,0.1,23.5,11.1,0.8,1.3,61.9,96.3,97.8,1.74,0.88,7.6,2.2,3.7,2.2,1.8,20.7,17.6,98.9,99.3,0,20.3,6.4,3.9,6.8,10.3,49.1,26
FRONTLINE MANAGEMENT,230,7,2,0,0,1,14.3,100,0,0,2.7,2.6,2.9,3.7,3.4,3.1,0.7,49.5,51.5,0.3,9,1.3,328764,46966.29,0,0,20.3,16.8,1.1,2.5,53.9,60.7,63.9,1.23,1.79,12.3,4.3,4.7,1.5,0.3,23.2,19.7,97,84.2,0,22.1,5.5,2.7,12.5,9.7,41.6,4.7
FUNDAMENTAL HEALTHCARE,231,72,7,2,3,9,12.5,91.7,0,8.3,2.1,2.3,1.9,2.9,3.2,2.9,0.4,49.4,49.4,0.7,124,1.7,4570477.01,63478.85,10,0.1,26.7,11.8,1.8,2.9,47.6,68.9,67.6,2.13,1.9,13.1,2.5,7.2,1.1,0.7,25.8,18.6,94.1,85.7,0,16.9,5.6,6.9,21.2,11.3,30.2,4.5
FUTURE CARE/LIFEBRIDGE HEALTH,232,17,1,0,0,1,5.9,94.1,5.9,0,3.1,2.8,3.4,3.8,4,3.6,1,44.8,35.1,0.3,5,0.3,63987.5,3763.97,1,0.1,22.1,8.6,1.3,3.5,60.2,81.4,79.7,1.57,1.03,11,2.1,8.9,1.9,1.1,35.5,21.8,96.3,94,0,25.9,6.2,10.5,10.7,11.7,37.4,10.5
GARDEN HEALTHCARE,233,6,1,0,1,2,33.3,100,0,0,2.5,2,1.8,4.5,3.4,3,0.4,48,58,1.3,10,1.7,580990.04,96831.67,4,0.7,27.7,25.4,0,3.3,55,75,86.5,1.88,1.7,11.1,3.5,3,0.4,0.6,4.4,4.5,98,96.9,0,26.8,5.9,25.1,30.3,10.2,42.8,21.8
GENERATIONS HEALTHCARE,236,33,4,0,0,2,6.1,100,0,0,3.7,3.4,3.5,4.1,4.2,3.7,0.7,40.5,39.5,0.2,30,0.9,1050088.86,31820.87,10,0.3,25.4,12.4,1.1,1.1,50.3,93.8,94.7,1.86,1.79,12.2,2.5,4.5,1.1,1.4,15.2,10.2,98.5,97.1,0.1,13.5,4.7,13,15.7,10.5,46.3,12.1
GENESIS HEALTHCARE,237,220,19,5,16,25,11.4,99.5,0,0.5,2.2,2.2,2.5,3.1,3.4,3.1,0.7,46.9,47,0.9,228,1,9840052.5,44727.51,49,0.2,24.5,12.6,1.4,3.2,49.9,72.5,76.7,1.65,1.56,14,3,6.5,1.8,0.9,26.2,20.8,94.6,92.5,0.1,24.2,6.7,8.1,17.2,10.6,36,9.5
GLOBAL HEALTHCARE REIT,238,10,3,1,1,0,0,90,10,0,1.4,1.7,1.7,2.2,3.6,3.2,0.4,66.5,68.9,1,24,2.4,394329.68,39432.97,6,0.6,22.6,15.1,3.8,7.5,60.3,46,62.2,1.78,2.81,22.4,4.3,7.5,3.3,1.6,23.7,18.9,89.2,82,0,18.2,5,10.9,24.7,10.6,38.2,14.7
GOLD FL TRUST II,594,46,1,0,2,4,8.7,100,0,0,3,2.7,2.7,4,3.6,3.3,0.6,48,50,0.4,37,0.8,1101609.39,23948.03,0,0,27.6,9.5,1.4,2.3,48.1,91.8,91.4,2.15,1.06,6.2,2.2,6.4,0.2,0.5,12,6.9,99.9,97.8,0,7.5,5.1,7.5,13.8,11,20.9,8.5
GOLDEN SNF OPERATIONS,692,7,1,0,0,3,42.9,100,0,0,1.9,1.9,3.1,2,4.1,3.8,0.5,53.8,60.3,0.7,58,8.3,961399.61,137342.8,6,0.9,24.8,19.1,1.4,3.1,41.4,76.8,79.3,1.91,3.07,8.4,3.8,7.2,1.5,2.1,37.3,27,95.6,94.3,0,22.4,7.6,1.8,17.4,11.7,29.5,8.6
GOLDWATER CARE,699,6,1,0,0,2,33.3,100,0,0,1.3,1.8,1.3,2.5,3.4,3.2,0.7,54.1,54.7,0.4,17,2.8,731983.22,121997.2,6,1,23.6,21.3,1.3,5.7,39.8,59.9,78.3,1.47,1.91,19.1,4.3,6.7,2.5,0.9,29.9,21.3,94.8,92.9,0,28.1,11.8,88.2,23.5,10.2,44.6,3.4
GOOD SAMARITAN SOCIETY,726,102,15,1,2,7,6.9,6.9,93.1,0,2.7,2.7,3.4,2.8,3.7,3.2,0.9,47.9,41.2,0.4,92,0.9,2315175.63,22697.8,12,0.1,21.9,13.2,1.6,2.8,52.4,76.4,83.8,1.6,1.87,16,4.7,5.2,4.2,2.6,26.3,21.6,96.3,97,0.2,25.8,5.8,2.9,16.2,10,47.5,4.9
GREEN TREE HEALTHCARE MANAGEMENT,241,4,2,0,0,3,75,100,0,0,2,1.5,2.5,3.8,3.7,3.2,0.6,52.4,61.8,0.8,31,7.8,892601.9,223150.48,2,0.5,22.8,13,2.2,2.4,60.1,69.4,65.2,1.71,2.14,22.9,2.4,5.1,1,0.9,15.4,14,95.8,89.4,0,30.9,5.9,10.1,15.7,10.4,32,2
GUARDIAN ELDER CARE,242,19,2,0,0,2,10.5,100,0,0,2.7,2.8,3.3,2.9,3.5,3.2,0.8,45.8,45.8,0.7,12,0.6,264401.15,13915.85,0,0,24.1,10.5,1.4,3.7,36.3,74.1,81.6,1.53,1.38,16.4,3.7,6.2,3,1.3,24.7,21.5,95.9,92.8,0,26.6,6.2,1.4,21.7,10.3,37.6,5.7
GULF COAST LTC PARTNERS,243,12,1,0,0,2,16.7,66.7,0,33.3,2.3,2.8,2.3,1.9,3.4,3.2,0.3,45.7,40,0.6,16,1.3,445234.92,37102.91,2,0.2,35.7,14,3,3.2,58.7,92.7,92.2,2.61,2.6,19.9,4.5,4.3,4.2,1.2,25,24.7,99.6,98.8,0,20.7,6.3,2.9,25.2,10.5,32.5,0.6
HAMILTON COUNTY HOSPITAL DISTRICT,589,22,1,0,0,3,13.6,77.3,0,22.7,2.3,2.2,2.1,4,3.4,3,0.4,53.3,56.2,0.5,33,1.5,1282596.21,58299.83,2,0.1,23.8,10.5,2.1,1.8,53.6,92.5,95.2,1.76,1.49,6.5,2.7,4,0.5,1.4,23.6,20,99.7,98.5,0,19,2.7,3.1,24.7,10.7,19.1,3.5
