Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
BLUE RIDGE HEALTHCARE,84,2,2,0,1,0,0,100,0,0,1,1.5,1.5,1,3.4,3.4,0.4,78.3,58.9,0.5,3,1.5,388940.5,194470.25,0,0,36.9,25,8,1.3,23.4,64.3,75.2,2.4,2.09,23.2,2.3,10.5,2.3,2.8,23.8,23.5,90.8,94.8,0,9.4,6.5,6,42.9,11.2,24.2,1.6
BLUE SPRING HEALTHCARE PARTNERS,85,5,1,0,0,0,0,100,0,0,4.4,3.6,3,4.8,3.4,3.2,0.5,56.3,48.1,0.8,0,0,0,0,0,0,24.5,9.9,1.6,1.7,52.9,96.6,95.8,1.33,0.57,16.2,2.4,4.4,0,0.1,12.5,10.9,100,99.4,0,17.6,6.8,1.9,27.1,11.2,45.8,6.8
BONAMOUR HEALTH GROUP,576,5,1,0,1,0,0,100,0,0,1.6,1.4,2.8,2.6,3.7,3.3,0.9,,,2,10,2,345184.72,69036.94,1,0.2,19.4,14,2.9,5.6,53.3,66.3,70.9,1.74,2.42,17.5,2,10,0.8,1.7,31.5,24.3,93,88.8,0,27.2,7.2,3.5,25.1,11,29.6,0.5
BONCREST RESOURCE GROUP,86,5,4,0,0,0,0,40,60,0,2.8,2.6,3,3.4,4.1,3.7,0.8,62.6,65,0.8,5,1,61673,12334.6,1,0.2,23.7,8.7,0.6,1.7,53.7,82,67.9,2.02,1.22,16.7,6.1,6.3,1.2,1.3,33.5,29.3,93.1,87.2,0,31.1,6,2.4,14.4,10.6,38.7,4.4
BOOKER HOSPITAL DISTRICT,587,6,1,0,0,1,16.7,100,0,0,2.5,2.7,1.7,2.6,3,2.7,0.2,45.6,45.6,0.6,8,1.3,143840.18,23973.36,0,0,23.9,16.9,2,1.3,43.2,70.1,75.6,2.08,2.21,14.2,2.9,3.3,0.7,0.8,25.2,21.8,94.8,91.5,0,17.7,3,1.3,24.3,10.3,36.6,3.3
BRADFORD MONTGOMERY,87,11,2,0,0,0,0,100,0,0,2.3,2.4,2.5,2.5,3.6,3.4,0.3,57,,1.1,9,0.8,166649.23,15149.93,3,0.3,29.7,22.3,4.8,2.1,55.1,67.6,84.1,1.95,2.27,22.7,4.7,4.1,1.3,3.7,21.6,18.9,95.3,95,0,12.5,2.9,3.4,29,11,47.7,0
BRIA HEALTH SERVICES,88,15,1,0,2,10,66.7,100,0,0,1.1,1.5,1.1,2.8,3.5,3,0.5,59.5,66,1.3,76,5.1,4325915.47,288394.36,27,1.8,28.1,16,3.1,1.8,37.9,43,51.4,1.92,2.3,10.4,2.4,4.7,0.2,0.4,11.8,7.7,77.7,71.8,0,17.6,8.1,95.6,16.9,10.7,42.3,15.4
BRIAR HILL MANAGEMENT,89,6,1,0,0,0,0,100,0,0,2.2,2.7,4,1.5,4.1,3.5,0.7,54.1,52.8,0.7,6,1,103717.25,17286.21,0,0,32.2,21.8,1.4,3,58.7,97.1,93.3,3.29,3.55,21.8,3.8,7.3,1.4,1.8,26.3,22.4,99.6,98.1,0.1,26.9,7.2,0.7,21.3,10.5,27.5,0.8
BRICKYARD HEALTHCARE,90,23,1,0,0,5,21.7,91.3,4.3,4.3,2,2,1.9,3.1,3.4,3,0.6,47.8,45.5,0.3,15,0.7,305842.7,13297.51,1,0,24.5,13.7,2.7,2.8,53.1,61,68.2,1.83,1.56,15.3,3.4,5.8,0.5,0.4,22.2,16.6,89.6,87.8,0,26.9,6.3,25,27,10.8,33.6,0.5
BRIDGES HEALTH,91,32,1,0,0,1,3.1,96.9,3.1,0,3.5,3.4,3.1,3.1,3.6,3.3,0.4,52.2,51.1,0.5,11,0.3,119597.42,3737.42,1,0,28.2,20.2,1,3.5,48.5,89,93.3,2.18,2.99,9.8,3.9,6.5,1.5,0.5,15.8,9.5,97.6,99.2,0.2,18.9,2.3,0.8,23.1,10.5,37.2,1
BRIUS MANAGEMENT,92,36,1,0,1,6,16.7,100,0,0,2.4,2.2,2.5,3.8,4.1,3.7,0.4,41.6,50.6,0.5,52,1.4,1328428.87,36900.8,12,0.3,24,13.6,2.3,1.7,53.9,90.6,93.8,2.59,1.56,9.9,1.4,6.1,0.9,0.8,13.6,12.6,98.7,98.7,0,11.5,5.5,16.1,12.4,10.4,54.4,21.6
BROOKDALE SENIOR LIVING,93,14,10,0,0,1,7.1,100,0,0,2.9,2.6,3.8,3.9,4.5,4,1.2,46.1,39.2,0.7,19,1.4,615107.64,43936.26,3,0.2,25.6,12.2,1,3.3,52.6,86.8,89.5,1.93,1.34,9.6,4.3,7.5,2.9,1.1,24.2,16.4,88.4,97.4,0,27,9.1,1.4,14.8,10.4,31.9,4
BUCKNER RETIREMENT SERVICES,706,5,1,0,0,1,20,0,100,0,2.8,2.8,3.8,3.6,5.7,5.3,1,55,54.3,0.7,3,0.6,68425.5,13685.1,0,0,31.8,10.3,0.9,2.3,65.9,97,98.4,1.94,1.77,15.3,2.6,6.8,1.4,1.3,27.4,15,96,99.7,0,9.3,1,2.8,21.3,10.7,29.2,12.3
"BVHC, LLC",82,12,1,0,0,0,0,100,0,0,3,3,2.5,3.7,4.3,3.9,0.5,49.9,49.6,0.7,31,2.6,241611,20134.25,3,0.3,27.7,13.9,1.3,1,51.3,98.9,98.6,2.29,2.2,11.5,2.2,4.9,1.4,1.4,14.7,9.5,100,100,0.1,14.1,5.6,1.6,11.5,10,47.2,22.9
C. ROSS MANAGEMENT,95,10,2,1,1,0,0,100,0,0,1.9,2.3,1.6,2.4,3.4,3,0.3,49.9,69.2,0.7,19,1.9,351596.66,35159.67,1,0.1,25.9,16.3,3.3,4.3,59.5,68,68.8,2.46,3.59,24.5,4.5,4.5,3,2.1,36.3,29.1,93.3,84.3,0,16,7.1,11.2,28.6,13.5,33.6,1.4
CADIA HEALTHCARE,96,5,1,0,0,0,0,100,0,0,3.4,3.2,3.2,4.2,3.9,3.6,0.8,50.4,43.8,0.4,4,0.8,151963.5,30392.7,0,0,27.2,11.4,0.1,2.2,60.3,83.1,96.5,2.28,1.78,6.1,1.9,4.9,1.5,0.7,18.5,14.7,97.1,99.1,0,21,5.7,2.4,27.4,9.1,58.3,2
CALDERA CARE,97,16,3,0,2,5,31.3,100,0,0,2.3,1.9,2.6,3.9,4,3.5,0.6,54.9,58.2,1.1,39,2.4,1623267.35,101454.21,6,0.4,21.3,12.6,1.7,3.2,54.2,78,84.6,1.13,1.83,15.3,2.8,6,1.6,1.7,15.8,13.2,93.7,96.3,0.1,21.4,5.6,9.5,10.8,9.9,39.4,15.6
CAMBRIDGE HEALTHCARE SERVICES,98,35,1,1,2,9,25.7,100,0,0,2.4,2.2,2.8,3.7,4,3.7,0.4,40.4,44,0.5,47,1.3,1381739.05,39478.26,12,0.3,25.2,12.1,1.2,1.1,43.8,96.8,97.9,2.25,1.51,11.9,1.6,4.9,1.2,0.8,14.1,11,98.9,99.5,0,13.7,3.9,16.6,12.7,10.6,49.8,14.2
CAMPBELL STREET SERVICES,99,12,2,0,1,1,8.3,100,0,0,1.9,1.8,2.6,3.4,3.5,3.2,0.6,54.4,55.2,0.6,16,1.3,524618.42,43718.2,9,0.8,20.3,12.5,0.7,1.5,52.1,82.9,79.9,1.67,2.08,17.8,3.7,4.2,2.1,2.2,23.8,18.3,96.5,92.7,0.1,31.8,5.3,3.3,23,9.6,47.1,1.8
CANTEX CONTINUING CARE,100,35,2,0,0,3,8.6,91.4,0,8.6,3.2,2.9,2,4.4,3.3,2.9,0.4,48,46.5,0.8,54,1.5,1030501.6,29442.9,5,0.1,25.1,12.6,0.5,1.3,51.6,99,99.4,1.71,1.61,3.5,3.3,5.3,0.1,0.5,13.9,10.9,100,100,0,12.2,3.2,1.6,18.9,10.8,0.5,0
CANYON CREEK HEALTHCARE,101,16,1,0,1,2,12.5,100,0,0,2.9,2.8,2.3,3.6,3.1,2.7,0.5,47.8,46.3,0.7,36,2.3,942913.02,58932.06,2,0.1,25.4,20.7,1.1,2.1,56.7,87.8,90.1,1.61,3.19,9.7,2.6,5.6,0.1,0.8,19.2,14.1,99.7,99.4,0,21.8,5.8,0.5,12.8,11.4,33.8,11.6
CAPSTONE MANAGEMENT,102,9,2,0,0,0,0,100,0,0,2.7,2.7,3.4,2.3,4.2,3.6,0.7,52.2,51.6,0.3,10,1.1,230585.21,25620.58,2,0.2,27.6,12.5,3.2,4.3,51.1,81.9,82.1,2.08,1.97,15.3,2.6,6.4,1.5,2.4,26.8,21.1,89.2,94.4,0.2,23,6.5,6.3,23.2,10.3,44.6,2.2
CARADAY HEALTHCARE,103,21,1,0,0,6,28.6,66.7,0,33.3,2.6,2.6,1.9,3.8,3.3,3,0.4,54.4,51.2,0.5,39,1.9,1052533.41,50120.64,4,0.2,27.3,12.1,0.5,3.2,49.2,70.8,70.2,1.97,1.51,6.5,3.1,4.7,0.5,0.6,23.3,20.8,97.2,94.1,0,22.2,5.4,4.2,21.1,10.5,32.5,5.6
CARDON & ASSOCIATES,105,19,1,0,0,2,10.5,26.3,5.3,68.4,3.7,3.5,2.4,4.4,3.4,3,0.6,52.7,36.1,0.5,10,0.5,202817.85,10674.62,1,0.1,23.3,10.9,1.4,1.3,55.4,84,86,1.45,1.27,11.2,4.7,4.7,1.2,0.1,15,11.5,94.3,94.6,0,23.9,7.9,4.5,23.5,11.2,54.6,14.1
CARE & REHAB,673,6,2,0,0,0,0,100,0,0,3.8,3.7,4.2,2,4.1,3.7,0.9,40.4,39.9,0,1,0.2,7445.75,1240.96,1,0.2,24.6,25.4,0.3,7.9,58.2,85.9,88.2,1.62,4.18,15.7,4.2,5.9,2.6,4.2,30.7,23.4,98.3,98.3,0,26.9,3.8,1.8,10.3,10,53.9,11.4
CARE INITIATIVES,106,43,1,0,1,0,0,20.9,79.1,0,2.4,2.3,3.1,3.2,3.2,2.9,0.6,47.6,51,0.9,54,1.3,2007446.1,46684.79,16,0.4,20.9,14.9,2.1,2.4,49.1,79,90.5,1.27,2.05,22.6,3.4,3.7,1.8,2,22.6,17.1,94.7,97,0.1,27.1,4.6,3.9,23.1,10.2,44.9,2.5
CARE NETWORK,107,10,2,0,0,0,0,100,0,0,1.4,2,1.7,2.3,2.7,2.4,0.5,60.9,64.6,0.9,22,2.2,307930.42,30793.04,0,0,30.5,15.6,2.6,3.6,44.5,67.1,81.9,2.31,1.95,18.5,4.1,7,0.5,1.2,18.7,16.6,93,93.8,0,12.7,5.7,13.6,23.9,10.1,24.7,7.8
CARECORE HEALTH,108,10,1,0,0,0,0,100,0,0,1.7,1.7,1.7,3.5,3.6,3.2,0.4,63.8,47.3,0.5,9,0.9,256348.77,25634.88,7,0.7,29.3,19.1,1.3,3.7,39.8,66.3,68.4,1.8,1.44,16.5,3,4.7,0.6,0.2,16.8,12.1,85.5,88.5,0,18.9,6.7,37.9,25.7,11.4,4,0.3
CAREONE,109,37,4,0,0,0,0,100,0,0,3.4,3,3.2,4.3,3.8,3.4,0.7,31.4,34.4,1,28,0.8,721297.94,19494.54,2,0.1,25.9,9.4,1,2,58.2,76.4,77.6,1.64,1.05,17.5,2.9,7.4,0.9,1.4,19.9,15.5,93.5,88.8,0.1,22,5.7,10.3,18,11,28.4,9.8
CARERITE CENTERS,110,30,5,0,0,2,6.7,96.7,3.3,0,3,2.5,2,4.7,3.5,3.1,0.6,44.3,49.1,0.3,19,0.6,574212.38,19140.41,3,0.1,21,7.2,1,2.1,53.5,71.4,73.8,1.46,0.82,9.1,2.5,5.8,0.7,0.2,18.5,15.4,90.9,89.2,0,23.7,7.1,12.2,17.9,10.3,38.8,6.7
CARESPRING,111,15,2,0,0,0,0,100,0,0,4.2,3.9,2.3,4.3,4,3.4,0.7,54.3,37.5,0.8,4,0.3,50215,3347.67,1,0.1,25.5,12.8,0.9,1.8,47,94.3,99.7,1.83,1.74,8.3,3.6,3,0.1,0.4,8,4.8,97.1,99.9,0,27.8,6.9,29.1,22.2,11.1,45.4,1.2
CARING HEALTHCARE GROUP,113,12,1,0,0,1,8.3,41.7,0,58.3,3,2.8,2.9,3.7,3.7,3,0.4,48.7,51.6,0.1,14,1.2,357614.45,29801.2,0,0,28.1,14.8,0.8,1.1,54.1,91.3,99,2.27,1.92,3.8,1.7,2.1,0,1.1,19.5,19,98.7,99.7,0,6.2,3.9,6.3,18.9,11.2,24.5,7.7
CARING PLACE HEALTHCARE GROUP,114,5,1,0,0,0,0,100,0,0,4,3.6,2,4.6,3.6,3.3,0.4,48.4,33.2,0.6,2,0.4,25673.93,5134.79,0,0,31.4,14,0.9,0.3,67.3,85.1,89.6,1.26,1.56,8.8,1.9,0.8,0.5,0.1,15.1,8.7,95,94,0,27.9,6.5,41.3,25.5,11,37.4,1.3
CARLYLE SENIOR CARE,599,8,1,0,0,0,0,100,0,0,2.4,3,2.3,1.8,3.6,3.1,0.4,51.3,55.5,0,5,0.6,51270.05,6408.76,0,0,31.4,22.1,3.1,5.7,44,79.7,86,2.68,3.11,18.6,2.9,7.2,3.4,2.1,19.5,19.3,97.2,98.9,0.1,15.5,5.9,2.6,19.8,11,17.6,0.2
CARMELITE SISTERS FOR THE AGED AND INFIRM,637,2,2,0,0,0,0,0,100,0,2.5,2.5,4,3,4,3.8,0.8,45.9,37.7,0.5,2,1,30195.75,15097.88,0,0,30.6,16,1.2,2.2,35.5,77.4,79.3,1.85,0.79,13,1.6,2.6,1.2,0.2,27.9,19.8,98,96.7,0,28.8,4,5.2,18.3,9,58.7,2.7
CARMELITE SISTERS FOR THE AGED AND INFIRMED,115,4,3,0,0,0,0,0,100,0,3.8,3.8,3.5,3.5,4.3,3.9,0.8,48,47.1,0.5,5,1.3,63352.08,15838.02,0,0,27,13.6,0.5,3.4,60.2,83.9,79.1,1.4,1.33,12.5,3.4,4.5,3.2,0.9,27,17.2,97,89.5,0,28.4,8.3,3.6,8.2,11.1,44.1,8.1
CARROLTON HEALTH,116,6,1,0,0,3,50,100,0,0,1.5,1.8,2.2,2.2,3.3,3,0.3,41.9,46.2,1,7,1.2,180545.09,30090.85,1,0.2,22.6,15.3,2.7,5.5,34.3,52.2,48.8,1.62,2.26,11.4,3.3,10.6,1.7,2.8,21.3,13.8,78.5,79.8,0,11.7,7.9,3,21.8,11.1,20.9,3.3
CASA CONSULTING,695,6,1,0,3,0,0,16.7,0,83.3,1,1,1.3,2.5,3.4,2.9,0.4,60,46.7,0,12,2,418223.82,69703.97,5,0.8,24.4,7.8,1.6,3.6,39,24.7,26.8,2.4,1.38,13.3,3.4,7.6,1.3,1.6,33.7,25.7,65.6,58.1,0,26.9,4.7,24.5,14.2,12,75.3,84.9
CASCADE CAPITAL GROUP,715,2,2,0,1,1,50,100,0,0,1,1,3.5,2,4,3.5,0.6,58.2,46.3,1,6,3,224503.5,112251.75,1,0.5,21.5,16.2,4.4,3,53.2,31.4,89,1.81,2.66,16.3,1.4,6.9,3.7,4.1,29,24.3,90.2,92.8,0,27.1,5.4,4,17.9,10.2,59,4
CASCADES HEALTHCARE,117,19,3,1,4,6,31.6,73.7,0,26.3,1.9,1.5,2.2,3.9,3.4,2.9,0.8,59.5,53.6,0.5,44,2.3,2081498.87,109552.57,13,0.7,20.2,13,1.2,1.9,51,72,78.8,1.39,1.28,20.4,3.1,3.8,1.7,0.9,20,15.7,96.7,93.7,0,22.6,4.4,23.2,24.1,10.3,27.1,18.8
CASCADIA HEALTHCARE,118,44,5,1,1,3,6.8,97.7,2.3,0,3.1,2.9,2.8,3.9,3.8,3.2,0.8,52.9,48.4,0.7,90,2,1466200.61,33322.74,5,0.1,17.5,14.9,1.1,1.4,58.2,78.8,84.1,0.99,1.67,15.3,2.8,4.6,2.1,1.8,26.3,19.6,92.7,95.7,0,25.2,6.5,12.6,17.3,9.9,42.7,11.5
CASSENA CARE,119,14,2,0,0,1,7.1,100,0,0,3.5,3.1,2.8,4.4,3.4,3,1,38.8,47.7,0.6,7,0.5,305512,21822.29,1,0.1,25.6,9.8,1.2,0.9,72,86.6,90.4,2.2,1.6,8.9,2.2,5.9,0.8,0.3,9.4,9.8,97.8,97.6,0,23.9,7,50.2,9.5,9.8,40.8,0.7
CASSIA,120,16,4,0,0,0,0,0,100,0,4.4,3.6,4.9,4.2,4.6,4.1,1.1,40.1,30,0.2,5,0.3,63590.8,3974.43,2,0.1,22.8,10.6,1.2,0.8,64.3,92.1,95.8,1.64,1.46,12.1,2.9,4.6,2.4,1.3,26.1,17.2,97.8,98.3,0,25.7,2.2,3.8,10.6,9.7,60.7,9.5
CASTLE HEALTHCARE,121,7,1,0,0,1,14.3,57.1,42.9,0,2.3,2.4,1,4.3,3.2,2.9,0.4,47.5,49.6,0.7,8,1.1,186745.13,26677.88,2,0.3,28.5,11.6,1.2,5.4,60.9,61.3,72.9,1.25,1.89,17.3,2.1,4.8,1,0.3,8.1,2.6,95.6,86.3,0,18.7,6.9,39.5,26.8,10.8,30.1,0.7
CATHOLIC CHARITIES NEW HAMPSHIRE,122,6,1,0,0,0,0,0,100,0,3.8,3.8,4,4,4,3.6,0.7,52.9,45.5,0.6,1,0.2,657.8,109.63,0,0,28.6,11.8,0.6,1.2,57.2,88.9,86.7,1.77,1.83,3.4,3.4,4.2,3,2.9,18.3,21.9,98.7,95.7,0,30.7,6.8,0,14.3,9.9,71.5,30.6
CAVALIER HEALTHCARE,691,2,2,0,0,0,0,100,0,0,2,2.5,2,3.5,3.4,2.9,0.3,44.4,70,1,10,5,65502.5,32751.25,0,0,30.3,17.1,0.1,4,38,91.9,95.1,2.48,1.58,14.3,4.6,4.8,2.2,1.1,9.6,9,99.1,95.7,0,16.3,4.8,0,23.2,9,69.4,26.8
CCH HEALTHCARE,124,31,2,0,0,6,19.4,100,0,0,2.2,2.2,2.7,3.3,3.7,3.3,0.7,57.3,48.6,0.7,48,1.5,2260226.38,72910.53,13,0.4,25.1,15.6,1.6,3.3,43,62.5,66.3,1.97,1.95,9.4,2.8,6.7,0.8,0.3,13,9.1,86.5,83.1,0,23.3,8.6,9.5,26.3,10.5,30.9,10.1
CELEBRATE SENIOR LIVING,647,3,2,0,0,0,0,33.3,66.7,0,3,3.7,2,3.7,3.5,3.2,0.6,35.8,29.2,0.3,4,1.3,70049.5,23349.83,0,0,20.8,17.9,2.8,0.6,52.8,73.2,79.3,1.47,1.43,17.4,3.1,5.8,3.1,0.4,24.4,15.9,97.1,95.8,0,23.2,7.2,37.3,14.5,11.8,68.6,0.8
CENTENNIAL COLORADO HOLDCO,592,7,1,0,0,2,28.6,100,0,0,3,2.7,2.1,4,3.3,2.9,0.7,44.4,40,0.7,7,1,97606.6,13943.8,0,0,18,15.3,0.8,1.6,58.6,78.1,84.7,0.98,2.7,18,4.9,1.9,0.3,0.6,9.5,11.3,97.7,94,0.3,15.4,2.9,22.3,21.1,10.9,47,4.8
CENTER MANAGEMENT GROUP,619,15,4,1,0,1,6.7,100,0,0,2.9,2.8,1.8,4.1,3.5,3.2,0.5,46.2,38.3,0.3,10,0.7,299870.91,19991.39,1,0.1,25.8,11.8,0.9,1.5,53,65,64.4,2.12,1.59,9.5,3,5.8,0.6,0.7,14.8,12,92.3,86.9,0,23.5,6.4,40.5,17.6,10.9,37.1,8.6
CENTERS HEALTH CARE,127,36,3,0,1,4,11.1,100,0,0,2.1,2,1.8,3.7,3.5,3,0.4,51.3,47.2,0.6,27,0.8,626892.5,17413.68,0,0,24.3,12.9,0.9,2.5,55,80.4,82,1.73,1.65,10.3,2.5,7.4,0.9,0.4,18.7,17.1,94.9,95,0,21.7,5,31.5,13.2,10,39.9,1.2
CENTRAL ARKANSAS NURSING CENTERS,129,39,2,0,0,0,0,100,0,0,3.4,3.1,3.2,4.2,4.4,3.8,0.3,50.9,39.8,0.2,12,0.3,366834.1,9406,2,0.1,24.2,12,0.8,3.2,53.2,74.3,88,1.75,1.53,7.4,3.2,3.7,0.5,0.7,17.1,11.4,92.6,96.7,0.1,18.1,4.7,0.8,24.4,10.8,43.6,8.5
CENTRAL MANAGEMENT COMPANY,130,22,1,0,0,6,27.3,100,0,0,2.5,2.8,2.6,1.9,3.7,3.3,0.3,43.2,26.2,3.3,23,1,736682.85,33485.58,1,0,28,15.3,4.8,3.4,59.8,85.4,90.8,2.5,2.34,17.1,4,6,3.8,2.2,21.7,18.8,98.6,96.9,0.1,8.8,4.3,1.8,28,10.8,48,5.5
CENTURY CARE MANAGEMENT,131,7,1,0,0,0,0,100,0,0,4,4.3,2.9,2.7,3.9,3.3,0.4,41.8,32.1,0,1,0.1,8511.75,1215.96,0,0,24.7,10.3,1,3.4,60.3,86,89.4,2.22,2.29,16,3.3,10.2,2.8,1.1,33.8,24.4,97.9,95.4,0.2,23.1,10.1,3.3,17.7,11,40,5.7
CENTURY HEALTHCARE,638,9,1,0,2,2,22.2,100,0,0,1.9,1.8,2.7,3.4,3.4,3.2,0.5,53.9,60.6,1.3,14,1.6,776403.3,86267.03,4,0.4,26.2,11.6,1,2.2,45.5,66.9,72.8,1.57,1.19,18.6,2.4,4.7,0.7,0.8,11.4,9.7,91.6,94.9,0,23,5.6,2.8,20,10.2,53,1.7
CERTUS HEALTHCARE,132,11,1,0,0,2,18.2,100,0,0,1.5,1.4,1.7,3.8,3.1,2.8,0.4,49,51,1.2,20,1.8,790936.98,71903.36,7,0.6,26.8,15.6,2.4,2.7,36.3,82.4,80.8,1.88,2.21,7.6,3.7,5,0.6,0.1,9.5,6.2,98.3,98.7,0,27.4,9,5.8,29.2,10.5,22.9,1.4
CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,133,7,1,0,0,1,14.3,57.1,0,42.9,2.4,3,2,2.6,3.4,3,0.3,53,51.7,0.3,18,2.6,276201.48,39457.35,0,0,29.6,13.3,1.4,2.8,37.6,88.2,86.1,2.05,2.05,10.9,4,7,0.7,1,23.2,16.5,96,98.4,0,22.9,8.1,1.8,22.1,10.9,38,3
CHAMPION CARE,134,17,3,1,1,2,11.8,94.1,5.9,0,1.5,1.7,1.7,3.1,3.2,2.9,0.6,56.2,50.8,0.5,30,1.8,1648705.76,96982.69,9,0.5,25.5,17.2,2.2,3.8,51.1,42.3,64.6,1.69,1.96,16.1,2,6.6,1.6,1.5,22,13.5,84.7,86.9,0.1,19,4.7,19.1,22.8,10.4,31.8,13.2
CHANCELLOR HEALTHCARE,135,2,2,0,0,0,0,100,0,0,3.5,3.5,2,3,4.1,3.6,0.5,53,70.8,2,1,0.5,2350,1175,0,0,23.6,16.4,1.8,4.5,49.8,62.1,90.7,2.26,2.63,7.3,2.8,5.1,1.2,0.5,18.6,20.7,95.5,86.4,0,25.3,10.9,4.3,8.4,9.1,54.2,0
CHARIS TRUST DTD 12/22/16,136,7,1,0,0,1,14.3,100,0,0,3.1,2.4,3.3,4.7,4.1,3.7,0.5,27.6,26.2,0.3,8,1.1,103195.8,14742.26,2,0.3,25.4,11.8,1,0.8,55.4,96.8,97.9,2.09,1.39,6.1,1.2,4.8,0.4,1.3,6.9,6.6,99.9,99.9,0,7.9,3.1,2.3,13,10.4,59.1,13.7
CHARLESTON HEALTHCARE GROUP,137,5,2,0,0,2,40,100,0,0,3.2,3,2,3.2,2.9,2.6,0.4,42.1,43.3,0.6,8,1.6,188741.5,37748.3,3,0.6,22.4,15.6,1.6,0.3,52.6,96.4,98.9,1.84,2.76,8.7,3.4,3.2,0.3,1.1,22.8,20,99.6,100,0,19.1,3.9,3.2,30.7,10.5,25.4,2.1
CHELSEA JEWISH LIFECARE,138,5,1,0,0,0,0,20,80,0,3.8,3.8,3.2,4,4.7,4.4,0.6,34.1,39,0.2,3,0.6,31258.46,6251.69,0,0,22.9,6.4,0.6,1.2,48.1,92.3,98.2,1.66,0.86,16.3,4.5,5,0.9,1.3,25.9,25.7,99.2,97,0,11.4,4.6,27.3,16.6,10.3,60.5,9
CHOICE HEALTH MANAGEMENT,140,15,2,1,2,7,46.7,100,0,0,1.2,1.6,1.1,2.4,3.3,2.9,0.4,59.3,67.1,0.8,31,2.1,1895521.19,126368.08,9,0.6,25.4,13.3,2.1,2.9,50.7,75.4,72,1.77,1.81,16,3,7.5,1.1,0.6,35,24.7,91.9,87.3,0,23.1,9.4,5.1,21,10.5,29.7,6.1
CHOSEN HEALTHCARE,141,7,2,0,1,1,14.3,71.4,0,28.6,1.6,1.9,1.4,3,2.9,2.6,0.4,50.8,54.6,0.4,11,1.6,424185.07,60597.87,3,0.4,26.7,16.1,2.6,2.6,56.9,99,70.8,2.24,1.64,23.6,5.3,3.1,1,0.7,24.4,26,95.5,86.6,0.3,26.2,8.9,31.3,30.6,10.9,38.2,3.3
CHRISTIAN CARE COMMUNITIES,142,5,1,0,0,0,0,20,80,0,3.4,3.6,3.2,3.2,4.3,3.8,0.8,59,47.3,0.8,0,0,0,0,0,0,21.6,13.2,1.2,4.1,51.4,81.9,78.6,1.32,2.13,8.9,4.3,5.1,7.3,1.7,31.2,16.7,98,97.2,0,19.6,7.7,1.9,34.2,10.8,46.8,5.7
CHRISTIAN HORIZONS,143,5,3,0,0,1,20,0,100,0,2,2,2.8,2.8,4.2,3.9,0.7,56.3,55,1,7,1.4,631403.75,126280.75,5,1,26.7,14.1,1.2,5.7,63.7,86.7,82.3,1.41,1.8,13.3,4.2,7.1,2.1,1.6,35.7,23.9,97.5,96.2,0.2,33,7.9,1.7,12.4,9.3,66.1,1.7
CIENA HEALTHCARE/LAUREL HEALTH CARE,144,82,5,0,0,10,12.2,100,0,0,2.7,2.6,3.1,3.4,3.6,3.2,0.6,42.7,39.6,0.4,112,1.4,4482429.01,54663.77,31,0.4,24.8,11.6,1.5,3.3,50.9,76.2,83,1.78,1.37,13.8,2.8,7,1.3,0.8,22,15.6,91,95.6,0.1,24.4,6.7,3.6,21.2,10.6,41,4.2
